punto_id,tipo_punto,nombre,latitud,longitud,localidad,categoria,valor_M,fecha
BIP0036,Proyecto BIP,CAPACITACION FAMILIAS EXTREMA POBREZA COMITE SAN BENITO RENG,-34.40518,-70.86324,Rengo (comunal),Multisectorial,44208.0,1997
BIP0037,Proyecto BIP,CONSTRUCCION PUENTE POPETA ENTRE RUTA H-521 Y H-65,-34.42,-70.88,Popeta,Transporte y Vialidad,675000.0,1997
BIP0038,Proyecto BIP,"CONSTRUCCION PAVIM. CALLE BULNES, ROSARIO-RENGO",-34.34788,-70.84245,Rosario,Transporte y Vialidad,46046.0,1997
BIP0039,Proyecto BIP,"MEJORAMIENTO CAMINOS H-577, H-631 RENGO - RINCONADA MALAMBO",-34.42437,-70.83827,Malambo,Transporte y Vialidad,144000.0,1997
BIP0040,Proyecto BIP,REPOSICION SS.HH. KINDER Y DE PROFESORES ESCUELA HUILQUIO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,6000.0,1997
BIP0041,Proyecto BIP,"MEJORAMIENTO Cº ESMERALDA-LAS PATAGUAS, H-450",-34.3905,-70.95144,Las Pataguas,Transporte y Vialidad,25200.0,1997
BIP0042,Proyecto BIP,CONSTRUCCION EXTENSION LO CARTAGENA - LAS ROSAS,-34.39026,-70.8737,Lo Cartagena,Recursos Hídricos,27048.0,1997
BIP0043,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHANQUEAHUE,-34.4335,-70.78779,Chanqueahue,Recursos Hídricos,11300.0,1997
BIP0044,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHOAPINOS,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,11300.0,1997
BIP0045,Proyecto BIP,AMPLIACION ESCUELA LO DE LOBOS SEGUNDA ETAPA RENGO,-34.37523,-70.82941,Lo De Lobo,Educación y Cultura,45997.0,1997
BIP0046,Proyecto BIP,AMPLIACION ESCUELA HUILQUIO SEGUNDA ETAPA RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,33819.0,1997
BIP0047,Proyecto BIP,AMPLIACION ESCUELA LO CARTAGENA RENGO,-34.39026,-70.8737,Lo Cartagena,Educación y Cultura,75387.0,1997
BIP0048,Proyecto BIP,AMPLIACION ESCUELA MARTA AVARIA S. RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,33672.0,1997
BIP0049,Proyecto BIP,AMPLIACION COLEGIO VILLA DEL COBIL RENGO,-34.39994,-70.89498,Cobil,Educación y Cultura,17430.0,1997
BIP0050,Proyecto BIP,"REPOSICION PARCIAL ESCUELA G-195 LAS TORRES, RENGO",-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,67991.0,1998
BIP0051,Proyecto BIP,MEJORAMIENTO QUIP. MEDICO E INDUSTRIAL HOSP.RENGO SS. OHIGGI,-34.40518,-70.86324,Rengo (comunal),Salud,285245.0,1998
BIP0052,Proyecto BIP,MEJORAMIENTO RUTA 5 LONGITUDINAL SUR - PASADA POR RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,792000.0,1998
BIP0053,Proyecto BIP,MEJORAMIENTO SISTEMA A.P DE ROSARIO,-34.34788,-70.84245,Rosario,Recursos Hídricos,488831.0,1998
BIP0054,Proyecto BIP,CONSTRUCCION CALZADA CALLE FRANCISCO RUIZ,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,34112.0,1998
BIP0055,Proyecto BIP,CONSTRUCCION CALLE BISQUERT SECTOR POBL EL NARANJAL,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,24318.0,1998
BIP0056,Proyecto BIP,REPOSICION POSTA SALUD RURAL POPETA RENGO,-34.42,-70.88,Popeta,Salud,50009.0,1998
BIP0057,Proyecto BIP,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,-34.34281,-70.9049,Esmeralda,Educación y Cultura,11844.0,1998
BIP0058,Proyecto BIP,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,-34.34281,-70.9049,Esmeralda,Educación y Cultura,405410.0,1998
BIP0059,Proyecto BIP,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,307313.0,1998
BIP0060,Proyecto BIP,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,31396.0,1998
BIP0061,Proyecto BIP,CONSTRUCCION PAVIMENTACION AVENIDA MADRID.,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,98793.0,1998
BIP0062,Proyecto BIP,CONSTRUCCION PAVIMENTACION AV. EL CIPRES,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,81813.0,1998
BIP0063,Proyecto BIP,CONSTRUCCION SERVICIO A.P.R. SECTOR LA ESMERALDA RENGO,-34.34281,-70.9049,Esmeralda,Recursos Hídricos,93800.0,1998
BIP0064,Proyecto BIP,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,253046.0,1998
BIP0065,Proyecto BIP,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,20900.0,1998
BIP0066,Proyecto BIP,REPOSICION ESCUELA F 185 LO DE LOBOS,-34.37523,-70.82941,Lo De Lobo,Educación y Cultura,94653.0,1998
BIP0067,Proyecto BIP,CONSTRUCCION PAVIMENTACION CALLE COLO-COLO - RENGO.,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,35391.0,1998
BIP0068,Proyecto BIP,EQUIPAMIENTO COMPUTACIONAL ESC.BASICAS DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,55000.0,1998
BIP0069,Proyecto BIP,MEJORAMIENTO EVACUACION AGUAS LLUVIAS RENGO,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,60000.0,1998
BIP0070,Proyecto BIP,CONSTRUCCION PAVIMENTACION CALLE LIBERTAD - RENGO.,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,13632.0,1998
BIP0071,Proyecto BIP,CONSTRUCCION PAVIMENTACION CALLE GUANGUALI NORTE - RENGO.,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,14373.0,1998
BIP0072,Proyecto BIP,CONSTRUCCION MULTICANCHA COMPLEMENTARIA GIMNASIO MUNICIPAL R,-34.40518,-70.86324,Rengo (comunal),Deporte,13750.0,1998
BIP0073,Proyecto BIP,REPARACION PLAZA DE ARMAS DE RENGO,-34.40518,-70.86324,Rengo (comunal),Deporte,49500.0,1998
BIP0074,Proyecto BIP,CONSTRUCCION CASETAS SANITARIAS SECTOR ESMERALDA,-34.34281,-70.9049,Esmeralda,Vivienda y Urbanismo,22000.0,1998
BIP0075,Proyecto BIP,CONSTRUCCION CASETAS SANITARIAS SECTOR ESMERALDA,-34.34281,-70.9049,Esmeralda,Vivienda y Urbanismo,22000.0,1998
BIP0076,Proyecto BIP,CONSTRUCCION PUENTE POPETA ENTRE RUTA H-521 Y H-65,-34.42,-70.88,Popeta,Transporte y Vialidad,541440.0,1998
BIP0077,Proyecto BIP,CONSTRUCCION PAVIM. CALLE QUINTALBA-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,47047.0,1998
BIP0078,Proyecto BIP,CONSTRUCCION PAVIM. CALLE EL RODEO-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,45438.0,1998
BIP0079,Proyecto BIP,CONSTRUCCION PAVIM. CALLE LAUTARO NORTE-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,57325.0,1998
BIP0080,Proyecto BIP,CONSTRUCCION PAVIM. CALLE LAS MERCEDES-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,28771.0,1998
BIP0081,Proyecto BIP,CONSTRUCCION PAVIM. CALLE LOS ESCRIBANOS-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,68708.0,1998
BIP0082,Proyecto BIP,CONSTRUCCION PAVIM. CALLE CAUPOLICAN II ETAPA-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,14486.0,1998
BIP0083,Proyecto BIP,AMPLIACION ESCUELA LUIS GALDAMEZ RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,420510.0,1998
BIP0084,Proyecto BIP,AMPLIACION ESCUELA LUIS GALDAMEZ RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,9187.0,1998
BIP0085,Proyecto BIP,MEJORAMIENTO ELECTRIFICACION DOMIC.SECTOR 1 ESMERALDA,-34.34281,-70.9049,Esmeralda,Energía,25891.0,1998
BIP0086,Proyecto BIP,REPOSICION POSTA SALUD RURAL LO DE LOBOS,-34.37523,-70.82941,Lo De Lobo,Salud,76419.0,1998
BIP0087,Proyecto BIP,"CONSERVACION DEF. FLUV. RIO CLARO, RENGO, VI REG.",-34.40518,-70.86324,Rengo (comunal),Multisectorial,500000.0,1998
BIP0088,Proyecto BIP,CONSTRUCCION ALUMBRADO PUBLICO CALLEJON VILUCO LARGO Y VILUC,-34.40518,-70.86324,Rengo (comunal),Energía,4229.0,1998
BIP0089,Proyecto BIP,CONSTRUCCION ALUMBRADO PUBLICO LOS GOMEROS RENGO,-34.35213,-70.87866,Los Gomeros,Energía,6665.0,1998
BIP0090,Proyecto BIP,ADQUISICION VEHICULO TERRENO CONSULTORIO DE ROSARIO RENGO,-34.34788,-70.84245,Rosario,Salud,6670.0,1998
BIP0091,Proyecto BIP,HABILITACION CENTRO DE DIAGNOSTICO Y ATENCIÓN PSICO KINESICO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,47946.0,1998
BIP0092,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHANQUEAHUE,-34.4335,-70.78779,Chanqueahue,Recursos Hídricos,15000.0,1998
BIP0093,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHANQUEAHUE,-34.4335,-70.78779,Chanqueahue,Recursos Hídricos,93800.0,1998
BIP0094,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHOAPINOS,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,82000.0,1998
BIP0095,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHOAPINOS,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,15000.0,1998
BIP0096,Proyecto BIP,HABILITACION Y EQUIPAMIENTO CUARTEL 1º CIA BOMBEROS DE RENGO,-34.40518,-70.86324,Rengo (comunal),Multisectorial,31465.0,1998
BIP0097,Proyecto BIP,REPOSICION PARCIAL MOBILIARIO LICEO LUIS URBINA FLORES DE RE,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,10451.0,1998
BIP0098,Proyecto BIP,REPARACION Y EQUIPAMIENTO PRIMER JUZGADO DE LETRAS DE RENGO,-34.40518,-70.86324,Rengo (comunal),Justicia y Seguridad,11947.0,1998
BIP0099,Proyecto BIP,CONSTRUCCION PATINODROMO DE RENGO,-34.40518,-70.86324,Rengo (comunal),Deporte,75000.0,1998
BIP0100,Proyecto BIP,AMPLIACION ESCUELA LO DE LOBOS SEGUNDA ETAPA RENGO,-34.37523,-70.82941,Lo De Lobo,Educación y Cultura,48826.0,1998
BIP0101,Proyecto BIP,AMPLIACION ESCUELA HUILQUIO SEGUNDA ETAPA RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,35033.0,1998
BIP0102,Proyecto BIP,AMPLIACION ESCUELA LO CARTAGENA RENGO,-34.39026,-70.8737,Lo Cartagena,Educación y Cultura,80025.0,1998
BIP0103,Proyecto BIP,AMPLIACION ESCUELA MARTA AVARIA S. RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,60056.0,1998
BIP0104,Proyecto BIP,AMPLIACION COLEGIO VILLA DEL COBIL RENGO,-34.39994,-70.89498,Cobil,Educación y Cultura,22775.0,1998
BIP0105,Proyecto BIP,DIAGNOSTICO REFORMULACION CURRICULAR Y FORTALECIMI.LICEO TEC,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,32590.0,1998
BIP0106,Proyecto BIP,AMPLIACION ESCUELA REPUBLICA DE ALEMANIA PARA JEC,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,106466.0,1998
BIP0107,Proyecto BIP,AMPLIACION ESCUELA VICENTE HUIDOBRO G 195,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,80929.0,1998
BIP0108,Proyecto BIP,AMPLIACION ESCUELA LA PAZ D 186 DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,67716.0,1998
BIP0109,Proyecto BIP,MEJORAMIENTO ESCUELA CARLOS CONDELLE 210 DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,21037.0,1998
BIP0110,Proyecto BIP,CONSTRUCCION ESCUELA EL NARANJAL,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,501123.0,1998
BIP0111,Proyecto BIP,CONSTRUCCION ESCUELA PARQUE ORIENTE,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,726000.0,1998
BIP0112,Proyecto BIP,MEJORAMIENTO QUIP. MEDICO E INDUSTRIAL HOSP.RENGO SS. OHIGGI,-34.40518,-70.86324,Rengo (comunal),Salud,298940.0,1999
BIP0113,Proyecto BIP,MEJORAMIENTO SISTEMA A.P DE ROSARIO,-34.34788,-70.84245,Rosario,Recursos Hídricos,337024.0,1999
BIP0114,Proyecto BIP,CONSTRUCCION CALLE BISQUERT SECTOR POBL EL NARANJAL,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,25862.0,1999
BIP0115,Proyecto BIP,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,-34.34281,-70.9049,Esmeralda,Educación y Cultura,427628.0,1999
BIP0116,Proyecto BIP,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,238044.0,1999
BIP0117,Proyecto BIP,CONSTRUCCION SERVICIO A.P.R. SECTOR LA ESMERALDA RENGO,-34.34281,-70.9049,Esmeralda,Recursos Hídricos,10100.0,1999
BIP0118,Proyecto BIP,CONSTRUCCION SERVICIO A.P.R. SECTOR LA ESMERALDA RENGO,-34.34281,-70.9049,Esmeralda,Recursos Hídricos,103000.0,1999
BIP0119,Proyecto BIP,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,277952.0,1999
BIP0120,Proyecto BIP,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,11017.0,1999
BIP0121,Proyecto BIP,REPOSICION CENTRO ABIERTO BELLO HORIZONTE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,94760.0,1999
BIP0122,Proyecto BIP,CONSTRUCCION PAVIMENTACION CALLE COLO-COLO - RENGO.,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,18026.0,1999
BIP0123,Proyecto BIP,MEJORAMIENTO EVACUACION AGUAS LLUVIAS RENGO,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,70000.0,1999
BIP0124,Proyecto BIP,CONSTRUCCION PAVIM. CALLE QUINTALBA-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,50348.0,1999
BIP0125,Proyecto BIP,CONSTRUCCION PAVIM. CALLE LAUTARO NORTE-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,66060.0,1999
BIP0126,Proyecto BIP,CONSTRUCCION PAVIM. CALLE LAS MERCEDES-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,34525.0,1999
BIP0127,Proyecto BIP,CONSTRUCCION PAVIM. CALLE LOS ESCRIBANOS-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,74971.0,1999
BIP0128,Proyecto BIP,CONSTRUCCION PAVIM. CALLE CAUPOLICAN II ETAPA-RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,13634.0,1999
BIP0129,Proyecto BIP,AMPLIACION ESCUELA LUIS GALDAMEZ RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,17039.0,1999
BIP0130,Proyecto BIP,AMPLIACION ESCUELA LUIS GALDAMEZ RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,524430.0,1999
BIP0131,Proyecto BIP,REPOSICION POSTA SALUD RURAL LO DE LOBOS,-34.37523,-70.82941,Lo De Lobo,Salud,1444.0,1999
BIP0132,Proyecto BIP,REPOSICION POSTA SALUD RURAL LO DE LOBOS,-34.37523,-70.82941,Lo De Lobo,Salud,56949.0,1999
BIP0133,Proyecto BIP,CONSTRUCCION ALUMBRADO PUBLICO CALLEJON VILUCO LARGO Y VILUC,-34.40518,-70.86324,Rengo (comunal),Energía,4000.0,1999
BIP0134,Proyecto BIP,CONSTRUCCION ALUMBRADO PUBLICO LOS GOMEROS RENGO,-34.35213,-70.87866,Los Gomeros,Energía,7439.0,1999
BIP0135,Proyecto BIP,ADQUISICION VEHICULO TERRENO CONSULTORIO DE ROSARIO RENGO,-34.34788,-70.84245,Rosario,Salud,9000.0,1999
