eje_id,eje_nombre,eje_corto,color_hex,n_objetivos,n_acciones,n_acciones_nna
1,"Cultura, Turismo, Deportes, Recreación y Bienestar Social",Desarrollo Social y Comunitario,#FF6B6B,8,54,26
2,Desarrollo Económico Comunal,Desarrollo Económico y Productivo,#4ECDC4,5,18,5
3,Educación y Capacitación para el Desarrollo Humano,Ordenamiento Territorial y Medio Ambiente,#FFD93D,4,14,12
4,"Infraestructura, Vialidad Comunal y Medio Ambiente",Servicios Públicos e Infraestructura,#6BCB77,7,51,8
5,"Seguridad Pública, Orden Público y Recuperación de Espacios","Cultura, Deporte e Identidad Local",#8E44AD,4,30,6
6,"Innovación, Modernización y Optimización de Gestión Municipal",Gestión Municipal y Gobernanza,#FF9F1C,4,47,2
